KEYID,Height,NFloor,MainUse,TFA,FA_R,FA_O,FA_C,FA_H,FA_L,Str,TRA,RA_G,RA_PV,RA_O,Shape_Leng,Age,Shape_Length,Shape_Area,uq_visitors,t_visits,stride_avg,tile_sqm,GFArea,KFArea,footsteps,EnergyDaily_J,EnergyDaily_kWh,EnergyYearly_kWh,Coverage_pct,KFloor_10p,KFloor_25p,KFloor_50p,KFloor_75p,KFloor_90p,Energy_10p_kWh,Energy_25p_kWh,Energy_50p_kWh,Energy_75p_kWh,Energy_90p_kWh
129,14,4,Office,590.4056259,0,100,0,0,0,RC,147.6014065,0,0,100,48.81032598,1966,48.80296372,147.5569852,23,23,1.2,0.25,147.6014065,147.6014065,2830,14145.13479,0.003929204,1.434159499,100,14.76014065,36.90035162,73.80070323,110.7010549,132.8412658,0.00039292,0.000982301,0.001964602,0.002946903,0.003536284
130,10.5,3,Office,243.3165107,20,80,0,0,0,S,81.10550355,0,0,100,48.23223213,1967,48.22482026,81.08094831,2,2,1.2,0.25,81.10550355,81.10550355,136,675.8791963,0.000187744,0.068526641,100,8.110550355,20.27637589,40.55275178,60.82912767,72.9949532,1.87744E-05,4.69361E-05,9.38721E-05,0.000140808,0.00016897
131,21,6,Office,374.4234163,0,81,19,0,0,RC,62.40390272,0,0,100,33.09198862,1986,33.08695311,62.38479774,8,9,1.2,0.25,62.40390272,62.40390272,468,2340.146352,0.000650041,0.237264838,100,6.240390272,15.60097568,31.20195136,46.80292704,56.16351245,6.50041E-05,0.00016251,0.00032502,0.00048753,0.000585037
132,28,8,Office,9538.330017,0,100,0,0,0,RC,1192.291252,0,0,100,139.149267,1969,139.1281272,1191.929927,37,49,1.2,0.25,1192.291252,1192.291252,48686,243426.1306,0.06761837,24.68070491,100,119.2291252,298.072813,596.1456261,894.2184391,1073.062127,0.006761837,0.016904592,0.033809185,0.050713777,0.060856533
133,28,8,Office,2682.808918,0,100,0,0,0,RC,335.3511147,0,0,100,74.64580944,1972,74.63443528,335.249508,36,37,1.2,0.25,335.3511147,335.3511147,10340,51699.96351,0.014361101,5.241801856,100,33.53511147,83.83777867,167.6755573,251.513336,301.8160032,0.00143611,0.003590275,0.00718055,0.010770826,0.012924991
134,28,8,Office,5748.561851,100,0,0,0,0,S,718.5702314,0,0,100,108.0049154,1969,107.9885865,718.3535747,59,76,1.2,0.25,718.5702314,718.5702314,45510,227547.24,0.063207567,23.07076183,100,71.85702314,179.6425579,359.2851157,538.9276736,646.7132083,0.006320757,0.015801892,0.031603783,0.047405675,0.05688681
135,24.5,7,Office,7556.257781,0,85,15,0,0,RC,1079.465397,0,0,100,132.3603097,1989,132.3401867,1079.138067,170,193,1.2,0.25,1079.465397,1079.465397,173614,868070.0903,0.241130581,88.01266193,100,107.9465397,269.8663493,539.7326986,809.5990479,971.5188575,0.024113058,0.060282645,0.12056529,0.180847935,0.217017523
136,14,4,Office,1500.339666,0,100,0,0,0,RC,375.0849164,0,0,100,78.16660344,2019,78.15487022,374.9718375,59,70,1.2,0.25,375.0849164,375.0849164,21880,109399.7673,0.030388824,11.09192085,100,37.50849164,93.7712291,187.5424582,281.3136873,337.5764248,0.003038882,0.007597206,0.015194412,0.022791618,0.027349942
137,10.5,3,Office,250.311611,0,100,0,0,0,RC,83.43720366,0,0,100,49.11663265,1981,49.10900333,83.4119756,1,1,1.2,0.25,83.43720366,83.43720366,70,347.6550153,9.65708E-05,0.035248356,100,8.343720366,20.85930092,41.71860183,62.57790275,75.0934833,9.65708E-06,2.41427E-05,4.82854E-05,7.24281E-05,8.69138E-05
138,7,2,Resid,71.2678294,100,0,0,0,0,W,35.6339147,0,0,100,23.89270223,1991,23.88906402,35.62308691,3,3,1.2,0.25,35.6339147,35.6339147,90,445.4239338,0.000123729,0.045161038,100,3.56339147,8.908478675,17.81695735,26.72543603,32.07052323,1.23729E-05,3.09322E-05,6.18644E-05,9.27967E-05,0.000111356
139,7,2,Resid,73.93260323,100,0,0,0,0,W,36.96630162,0,0,100,24.50250686,1999,24.49899176,36.95569984,4,5,1.2,0.25,36.96630162,36.96630162,154,770.1312837,0.000213925,0.078082755,100,3.696630162,9.241575404,18.48315081,27.72472621,33.26967145,2.13925E-05,5.34813E-05,0.000106963,0.000160444,0.000192533
140,28,8,Office,1394.914461,0,88,12,0,0,RC,174.3643076,0,0,100,61.56564236,1991,61.55608305,174.3108652,4,4,1.2,0.25,174.3643076,174.3643076,582,2906.071794,0.000807242,0.29464339,100,17.43643076,43.59107691,87.18215382,130.7732307,156.9278769,8.07242E-05,0.000201811,0.000403621,0.000605432,0.000726518
141,7,2,Office,101.4167044,0,100,0,0,0,W,50.70835222,0,0,100,32.57977524,2001,32.57485444,50.6930515,2,2,1.2,0.25,50.70835222,50.70835222,84,422.5696018,0.00011738,0.042843862,100,5.070835222,12.67708805,25.35417611,38.03126416,45.637517,1.1738E-05,2.93451E-05,5.86902E-05,8.80353E-05,0.000105642
142,7,2,Resid,94.48540414,0,0,100,0,0,RC,47.24270207,0,0,100,31.01561909,2004,31.01100117,47.22884613,12,12,1.2,0.25,47.24270207,47.24270207,472,2362.135103,0.000656149,0.239494254,100,4.724270207,11.81067552,23.62135103,35.43202655,42.51843186,6.56149E-05,0.000164037,0.000328074,0.000492111,0.000590534
143,38.5,11,Resid,2961.737479,24,3,73,0,0,RC,269.2488618,0,0,100,91.46130952,2000,91.44726498,269.1682547,18,19,1.2,0.25,269.2488618,269.2488618,4264,21315.53489,0.005920982,2.161158399,100,26.92488618,67.31221544,134.6244309,201.9366463,242.3239756,0.000592098,0.001480245,0.002960491,0.004440736,0.005328884
